"","PN38065GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Género - Mujer"
Ago15,7.86215978928885
Sep15,7.85331105443672
Oct15,6.76349447214394
Nov15,6.46184171058832
Dic15,6.41251558000601
Ene16,7.81372293242892
Feb16,8.02589840524922
Mar16,8.56833910034602
Abr16,7.95619193727094
May16,8.2906901741561
Jun16,7.91596566153315
Jul16,7.68361581920905
Ago16,7.27154046997389
Sep16,6.88031393067365
Oct16,6.84701733258784
Nov16,6.30323679727428
Dic16,6.82885906040269
Ene17,7.98429319371727
Feb17,8.56196381551006
Mar17,8.55050246976666
Abr17,7.62542940752365
May17,7.36275012827092
Jun17,7.81403284282362
Jul17,8.18051212710217
Ago17,7.57813144223634
Sep17,7.51728110599079
Oct17,6.74058943682522
Nov17,7.1664230528294
Dic17,7.04270752833934
Ene18,7.93650793650794
Feb18,9.1996511193255
Mar18,9.16336323805549
Abr18,8.95034933234115
May18,8.01978963123103
Jun18,7.81474288609305
Jul18,7.68619579308327
Ago18,7.82067247820673
Sep18,7.45477875739889
Oct18,7.24843423799582
Nov18,6.52334454746861
Dic18,6.78881937108962
Ene19,7.2505943110091
Feb19,8.80226082619897
Mar19,9.80798739269274
Abr19,9.3452528764175
May19,8.27956989247311
Jun19,7.49554330251647
Jul19,6.60905349794238
Ago19,6.79795649307844
Sep19,6.85528642513467
Oct19,7.87521010125857
Nov19,7.66042183118625
Dic19,7.33485558626769
Ene20,7.96456645784286
Feb20,9.01296191933015
Mar20,9.20240245285396
Abr20,9.56608038815681
May20,12.3877644194187
Jun20,16.5306476818892
Jul20,16.5165554331627
Ago20,16.3390728476821
Sep20,17.2
Oct20,17.5694172858819
Nov20,17.2
Dic20,15.7428034770454
Ene21,15.2932506827344
Feb21,16.8063063063063
Mar21,17.9407681628876
Abr21,17.8510491122896
May21,14.4912867452913
Jun21,12.7550801220088
Jul21,11.9258178071606
